,Abstract,Advisor,Advisor_Major,Student_Major,Student_Year,Students,Title,Year
129,"Nanometer-sized metal particles possess unique properties that make them useful in myriad settings from information storage to biomedical treatment. Despite these potential uses, many properties of nanoparticles are poorly understood. Here, we report on a range of properties and applications for these materials. These include fundamental studies such as investigating the stability of  nanoparticle thin ï¬Ålms and controlling the assembly of nanoparticles in solution. Two speciï¬Åc applications, developing nanovehicles for biomedical applications and for remediation of contaminated water, will also be described. (Research supported by Oï¬ƒce of the Dean of the College and the Sherman Fairchild Foundation.)","ADVISOR: Nolan T. Flynn, Chemistry",Chemistry,"Biological Chemistry, Middle Eastern   Studies, Chemistry, Chemistry, Chemistry","2012, 2012, 2012, 2010, 2010","ra Duarte, Zahra Ghadyali, Olivia Hendricks, Christine Min, Madeline  Vara",Small Particles with Big Impacts: Applications of Nanotechnology ,2010
130,"Women in leadership positions today are expected to balance the â€œmasculinityâ€ù of authority with contradicting deï¬Ånitions of femininity, and this balancing act often takes place on a linguistic battleground. Basing my work on research conducted by Candice West, I use the example of a family doctor as an authority ï¬Ågure to explore the value of womenâ€™s style of communication in the public sphere. I asked survey participants to respond to doctorsâ€™ directives that reï¬‚ected either feminine or masculine styles of speech. My project led me to explore the diï¬€erent ways women and men speak and use polite-ness as well as ideas about how we should theorize gender and language.","ADVISOR: Andrea Levitt, French",French,Cognitive and Linguistic Sciences,2012,Lauren Cahillane,Doctorsâ€™ Gendered Speech Directives: Theorizing and Understanding Womenâ€™s Language and Politeness,2010
131,"Schools such as Wellesley are known for  their diverse student populations. One of  the greatest beneï¬Åts of this culturally rich community is the multilingualism that ï¬‚ourishes on campus. International students contribute largely to the list of languages spoken between students, while American students bring a diï¬€erent bilingual back-ground to school. Does this diï¬€erence change their attitudes or the linguistic aspects of  their future? In a sociolinguistic study,  young international and domestic bilingual  college students responded to a survey that examined their language experience, learning processes, usage, and skill. These results were used to measure attitudes about being bilingual leading to some surprising but pleasant discoveries.","ADVISOR: Andrea Levitt, French",French,Japanese Language and Literature,2012,Darcy Kupferschmidt,Examining Language Attitudes of Young Adult Bilinguals,2010
132,"Sarcastic humor is popular with the young, who sometimes ï¬Ånd that their jokes are misunderstood by older individuals. This study was designed to examine how well adults (over 40) and young adults (between the ages of 18â€“25) detect the use of sarcasm in casual conversation. A survey, which contained questions on participantsâ€™ background and use of sarcasm and ï¬Åve brief dialogs that were evaluated for sarcasm, was conducted to explore this question. Responses were collected from over 30 participants. The results reveal some interesting patterns that link the detection of sarcasm to age diï¬€erences. They also provide some insight as to why we think weâ€™re funny, but many of our parents tend to think otherwise.","ADVISOR: Andrea Levitt, French",French,Environmental Studies,2011,Casey Sedlack,Am I Getting Old or Are You Being Sarcastic?,2010
133,"What does Plato have in common with millions of concerned parents? Both have targeted popular culture as a source for deviance in young people. Nowadays music in particular is put under constant scrutiny for its questionable lyrics, violent undertones, and sexual themes. Is there something about hearing taboo words in music that renders them more acceptable than when they are read? In my experiment, I surveyed peopleâ€™s reactions to certain taboo words. I examined how oï¬€ended they were when the word was read and when it was accompanied by music. This presentation will reveal my ï¬Åndings as well as some tidbits about swearing in the college community.","ADVISOR: Andrea Levitt, French",French,Cognitive and Linguistic Sciences and Economics,2012,Anne Tuan,Taboo Words in Music and Lyrics,2010
134,"Relatively few women choose science majors or careers in science, and women who do work in male-dominated ï¬Åelds, such as science, continue to hit that infamous glass ceiling, hindering them in their attempts to advance in their careers. While more women than ever before have entered into science ï¬Åelds, the presence of gender related stereotypes may still be widespread and problematic. In our study, we investigated whether people associate masculine traits more than feminine traits with a successful scientist. We collected data from various campus locations around Boston to ensure a representative sample of subjects.","ADVISOR: Linda L. Carli, Psychology",Psychology,"Biological Sciences and Psychology, Economics and Psychology, Spanish and Psychology","2012, 2010, 2010","Laila Alawa, Bebe Zhao, Elaine Y. Kim",What is the Gender of a Successful Scientist? Stereotypes about Women and Scientists,2010
135,"When organizations evaluate employees, they base their evaluation on performance factorsâ€”like how good the employee is at his or her job or how much revenue the employee brings into the ï¬Årmâ€”and on non-performance factorsâ€”like race and genderâ€”which are based on stereotypes. Past research has shown a tendency to evaluate female leaders more negatively than male leaders, especially under circumstances where a masculine leadership styles is utilized or when the female leader occupies a role that is traditionally male-dominated. My research uses meta-analysis, a statistical method that reviews past studies on a subject, to evaluate the extent to which these factors, and many others, impact the evaluation of males and females in leadership positions. (Research supported by the Oï¬ƒce of the Dean of the College and the Psychology Department.)","ADVISOR: Linda L. Carli, Psychology",Psychology,Psychology,2010,Laura Murphy,Non-performance Factors in the Evaluation of Male and Female Leaders,2010
136,"The average age of marriage continues to rise and the divorce rate in America remains just below 50%. Yet, why these trends continue or what people of marriageable age think about these phenomena remains under explored. In my thesis I study college-aged women and their expectations for their future relationships. My working hypothesis has been that children of divorce, regardless of their socioeconomic background, are more likely to have polarized expectations regarding their relationships: they are more likely to be completely commitment-averse or commitment-demanding; they are more likely to have thought about divorce in their futures (either as a deï¬Ånite occurrence or a complete impossibility); they are less likely to believe in â€œthe oneâ€ù (i.e, a soul mate); and they are more likely to expect a partner to break oï¬€ a relationship unless they are shown complete and absolute devotion. Early analysis of focus group data with 29 womenâ€”10 whose parents are divorce, 10 who identify their parents as happily married, and 9 who identify their parents as unhappily marriedâ€”reveals that women whose parents are unhappily married or divorced have more clearly deï¬Åned future plans and are more pessimistic about eventually ï¬Ånding someone with whom they can spend their entire lives. They also tend to be more aware of their parentâ€™s relationships and see their parents as an example for their own relationships. Simultaneously, many appear resigned to future relationships that will resemble those of their parents in some aspects. I conclude with an examination of the implications of my ï¬Åndings and what they may portend for the future of marriage in the U.S.","ADVISOR: Joe Swingle, Sociology",Sociology,Sociology,2010,Caroline Phillips,Do our Parentâ€™s Relationships  Shape Our Own?,2010
137,"For the psychology research methods course, 312R, students designed and ran studies in the ï¬Åeld of personality psychology. This study examines positive illusions in relationships between romantic partners and close friends, as well as the relationship between illusions and other relationship variables. The â€œlove-is-blindâ€ù bias is the primary construct of interest; this is an illusion in which individuals perceive their romantic partners to be more attractive than them. A sample of 141 women estimated their own, their romantic partnerâ€™s, and a close friendâ€™s physical attractiveness. Participants also completed measures of relationship satisfaction and love styles. Results provided support for the love-is-blind bias and a positive illusion in friendships, in that individuals consistently rated their partners more positively themselves, and their close friends more attractive than average. Results also show a positive correlation between the love-is-bias and the love styles, Eros (romantic love) and Agape (selï¬‚ess love).","ADVISOR: Julie Norem, Psychology",Psychology,Psychology and Computer Science,2010,Colette Whitaker,"Personality, Self, and  Relationship Attitudes",2010
138,"In my senior honors thesis, I am researching how luxury marketing and consumption have changed in the current recession. My current work utilizes a mixed methods design, analyzing both quantitative economic models and qualitative data generated from interviews. I posit that to fully comprehend why changes in luxury consumption have occurred, it is necessary to understand the social impetus that has triggered them. I am also investigating the marketing strategies luxury brands have employed to keep their limited customers buying. This includes an investigation of how larger luxury conglomerates, like MoÃ«t Hennessy Louis Vuitton (LVMH), reconcile their ï¬Ånancial losses with their traditional ethos of exclusivity.","ADVISOR: Bryan S. Turner, Sociology",Sociology,Sociology,2010,Rachel Behler,"Louis Vuitton Purses, Godiva Chocolates, and Housekeepers: An Examination of Luxury in the  Great Recession",2010
139,"Childhood obesity rates in the U.S. are remarkably high. While physical health problems related to obesity need much attention, there are psychosocial problems that can severely impact a personâ€™s quality of life as well. Research indicates that women more frequently than men experience low status attainment and depressive symptoms as a result of weight-related stigmatization and social marginalization. When and why does this gender diï¬€erence in psychosocial problems arise? Because patterns in behavioral problems associated with childhood obesity are emerging at very young ages, it is important that research and intervention focus not only on adolescents but also children in preschool. My research addresses some of the gender diï¬€erences in overweight children, the behavioral problems that may lead to increased social marginalization, and the frequency of these behavior problems in young boys and girls. (Research supported by the Anne Murray Ladd Research Internship at the Wellesley Centers for Women.)","ADVISOR: Wendy Wagner Robeson, Ed.D., Wellesley Centers for Women",Ed.D.,Psychology,2010,Becky Parker,Gender Differences in the Association between Childhood Obesity and Behavior Problems in a Pre-K Sample,2010
140,"A large amount of literature in the ï¬Åelds of sociology and economics has analyzed the causes and consequences of great amounts of social capital. Social capital is usually deï¬Åned as the existence and strength of links between and within social networks in a community. This project will analyze data collected for 1660 households in rural Honduras, focusing on variables that proxy social capital, including responses to questions about trust, group participation, networking, and community involvement. I will estimate statistical models using Stata software to test hypotheses about how individual and family characteristics such as income and education levels of adults in the household contribute to social capital in the rural Honduran context. This will provide us with a framework for how social capital can be developed in the most eï¬ƒcient way in such an environment.","ADVISOR: Patrick J. McEwan, Economics",Economics,Economics  and Mathematics,2012,ita Krishnaswamy,How Much Do You Trust Your Neighbor?: Determinants of Social Capital in Honduras,2010
141,"Women of all ages have been found to suppress their authentic thoughts and feelings in order to maintain good relationships. In my research, I predict that college women will demonstrate lower levels of authenticity if they have a history of child maltreatment. I also predict that authenticity will partially account for the negative outcomes that develop from child maltreatment, including depression, low self-esteem, and trauma symptomatology. Furthermore, I propose  that Asian American women will exhibit worse outcomes compared to other ethnic groups as a result of the greater prevalence of child maltreatment and self-silencing among Asian Americans.","ADVISOR: Sally Theran, Psychology",Psychology,Psychology,2010,Sohyun Han,Saying What I Think: The Association between Authenticity in Relationships and a History of Child Maltreatment Among College Women,2010
142,"In the U.S., Latina adolescents often face problems of acculturation, that is, adaptation to two cultures simultaneously. In addition to typical developmental challenges, they must integrate into mainstream American culture while maintaining a connection to their parentsâ€™ traditional ethnic values. Clinicians and researchers have begun to document the negative outcomes associated with acculturative stress as well as the beneï¬Åcial eï¬€ects of mutual relationships on family functioning and self-esteem. This presentation summarizes the ï¬Åndings of my thesis research on the association between the shared understanding of cultural knowledge within the mother-daughter relationship and indicators of psychological well-being in a sample of 92 Latina adolescents. Results suggest that mother-daughter cultural inter-subjectivity and mutuality predict positive psychological outcomes. In addition, I will discuss how these outcomes vary by mode of acculturation.","ADVISOR: Nancy Genero, Psychology",Psychology,Psychology,2010,ez,Mother-Daughter Dyads:  From Cultural Discontinuities to Shared Perspectives,2010
143,"Following a 1992 recommendation from the Oï¬ƒce of Juvenile Justice and Delinquency Prevention, gender-speciï¬Åc programming was championed as the golden solution to reducing at-risk behavior in young girls. Youth organizations across the country adopted this framework acknowledging that girlsâ€™ development is unique from boys and furthermore that speciï¬Åc intervention is necessary to promote healthy adolescence. In fall 2009,  I researched this phenomenon both through a literature review and interviews with two Latina community based organizations in Boston. These organizations incorporate Latina cultural values such as familismo and collectivismo into the gender-speciï¬Åc model to encourage positive identity formation and deter risky behavior in girls ages eleven to seventeen. I examined how the program content aims to reduce the risk of pregnancy, low high school graduation rate, and suicide/depression in Latina youth. I also questioned how the lack of adequate program evaluation impacts the long-term success of behavioral risk aversion.","ADVISOR: Charlene Galarneau, Womenâ€™s and Gender Studies",Womenâ€™s and Gender Studies,Peace and Justice Studies,2010,Alaya Levi Salley,The Final Solution? Gender Speciï¬Åc Programming for â€œAt-riskâ€ù Latina Girls,2010
144,"From expression of love to obtaining a promotion, women are motivated to have sex for many diï¬€erent reasons. This study focuses on exploring women who have sex in order to elevate their self-esteem. Although engaging in self-esteem-boosting sex is culturally viewed as an inferior and negative reason to have intercourse, this study proposes that maybe itâ€™s not all bad. I will ï¬Årst explore diï¬€erent types of goal orientation in relation to reasons for having sex, predicting that validation seekers will be more likely to engage in self-esteem sex. Then, I will attempt to verify whether having sex in order to boost self-esteem is actually a negative behavior or whether healthy validation seekers can beneï¬Åt from self-esteem sex. I will do this by demonstrating that there is variation in psychological health within validation seekers and that there are psychologically healthy validation seekers who productively engage in self-esteem boosting sex. (Research supported by the Oï¬ƒce of the Dean of the College and the Psychology Department.)","ADVISOR: Jonathan Cheek, Psychology",Psychology,Psychology,2010,Rachel Amrhein,Wanting to Be Wanted: What Characterizes Women Who Seek to Boost Self-esteem through Sex?,2010
145,"When considering the topic of gender in ï¬Ålm, certain images of women come to mind: Brigitte Bardotâ€™s untamed attraction, or Katharine Hepburnâ€™s stinging wit. However, the complex social constructions behind male protagonists are under-studied. In my thesis for the French department, I seek to unravel assumptions regarding masculinity by focusing on a particular set of ï¬Ålms by director FranÃ§ois Truï¬€aut. Spanning 20 years and featuring the same actors, these ï¬Ålms center around one character, Antoine Doinel, as he struggles through lifeâ€™s major events. Doinel both challenges and reinforces the traditions of marriage, fatherhood, and work generally expected of Frenchmen, and reformulates the publicâ€™s understanding of masculinity in the process. (Research supported by the Nathalie Buchet Ritchey Fellowship and the Oï¬ƒce of the Dean of the College.)","ADVISOR: Scott Gunther, French",French,Political Science and French,2010,Elizabeth Shirey,French Masculinity Reï¬‚ected in  Film: Examining Truffautâ€™s Antoine Doinel Character,2010
146,"Not long after its release in 1954, the ï¬Ålm Gojira soon became an international sensation and its star a pop culture icon. At its heart, Gojira is far more than a simplistic tale of a destructive monster rampaging Tokyo. The ï¬Ålm reveals Japanese postwar attitudes towards nuclear warfare and the Cold War as a whole. Gojira is a criticism of nuclear proliferation and the treatment of victims of nuclear warfare and testing. It is a stirring tale of nationalism and bravery, a return to a time in which Japan was untainted by the burdens of defeat and guilt. The Japan presented in the ï¬Ålm is how the Japanese wished to envision their nationâ€”as a noble country that is governed by an unfaltering moral compass and a willingness to make great sacriï¬Åces for the greater good.","ADVISOR: Eve Zimmerman, East Asian Languages and Literatures",East Asian Languages and Literatures,East Asian Studies,2010,Rebecca Fiske,Godzilla: Postwar Attitudes and the Realities of Nuclear Warfare,2010
147,"Certain presidential candidates are perceived as frontrunners months before the ï¬Årst presidential primary contests take place.  Long before voters cast their ballots, the media lavishes coverage on some candidates while perceiving others as being virtually dead in the water. The disparity among candidatesâ€™ media coverage was perhaps no more apparent than in 2008. Why did Hillary Clinton receive more coverage than other qualiï¬Åed candidates like Joe Biden or Bill Richardson? In the eyes of editors and journalists, what determines candidate viability? To what extent has the growth of new media, like blogs, YouTube and The Daily Show, inï¬‚uenced this process? By directly surveying those responsible for shaping and publishing coverage of the presidential primaries, this project seeks to measure the importance of a candidateâ€™s personal and political characteristics in the mediaâ€™s perception of candidate viability. (Research supported by the Barnette Miller Fund.)","ADVISOR: Marion Just, Political Science",Political Science,Political Science,2010,Lisa Geraci,Exposing the Invisible Primary: Examining the Mediaâ€™s Role in Determining Candidate Viability,2010
148,"What do you consider to be â€œnews?â€ù Where do you ï¬Ånd itâ€”in a newspaper, on television, or on Facebook? Do you feel like you have to search out the news, or does it come to you? Drawing from a survey of Wellesley students, I will discuss a new pattern of modern news consumption, as inï¬‚uenced by the ubiquity of Internet access and popularity of social media. Social networks like Facebook and Twitter provide a new model for accessing, sharing, and discussing news, and I will explore how they facilitate a greater and more meaningful democratic conversation about current events.","ADVISOR: Panagiotis T. Metaxas, Computer Science",Computer Science,Media Arts and Sciences,2010,Rebecca Spitzer,"Journalism and Online Social Networks: New Ways to Access, Share, and Discuss the News",2010
149,"Does a better understanding of the evolution and history of opera directly inï¬‚uence singers and consequently, their performances? With the assistance of their non-singing colleagues, four students from the fall semester course MUS230 Opera: Its History, Music, and Drama will perform four arias and a duet to demonstrate how their newfound knowledge of opera has changed their performance of this genre of music. For example, one of the singers chose her piece through her personal connection with a character. Another chose music that reï¬‚ects a period or style that she found most interesting. Witness the depth of these performances and discover for yourself the importance of understanding the history and drama of opera.","ADVISOR: Andrea M. Matthews, Music",Music,"Unspecified, Medieval/Renaissance Studies, Music, Theater and Political Science, Japanese Language  and Literature, Unspecified, Music and German, French","2012, 2010, 2012, 2012, 2012, 2013, 2012, 2010","Margaret Zwiebach, Nicola Collett, May-Elise Martinsen, Josephine  Ho, Marina Heinrich, Clara Kahng, Lucy Bergin, Esther Hugenberger",The Scholar Sings ,2010
150,"Since the dark era of Japanese colonial rule between 1910 and 1945, ties between Korea and Japan have signiï¬Åcantly improved. Nevertheless, their bilateral relations are still plagued with hidden scars of the past, ridden with a violent and antagonistic history. One of the unresolved issues is a territorial dispute over the Dokdo islands, which are a tiny group of rocks located in between Korea and Japan that seem to be of no obvious strategic or economic importance. The dispute, however, has been for over half a century and a solution still does not seem in sightâ€”both governments are adamant about their positions, and the Korean public, in particular, is more passionate than ever about claiming the islands. Why do these islands hold such signiï¬Åcance for the Korean people and their government? A seemingly unimportant territorial dispute actually holds a multitude of meanings for the divided nation.","ADVISOR: Yoshihisa T. Matsusaka, History",History,East Asian Studies and Economics,2010,Denai Koh,Reclamation: Dokdoâ€™s Signiï¬Åcance to Korea,2010
151,"While much American scholarship focuses on contact with Native Americans through English, French and Spanish explorers and settlers, contact was achieved in a very diï¬€erent idiom through the contact of Norse explorers to Maritime Canada. This presentation will oï¬€er fresh perspective on approaching early American exploration, colonization, and co-existence. A truly multi-disciplinary perspective is used, encompassing linguistics (analysis of Old Norse sagas), archaeology (the excavation of Lâ€™Anse-aux-MÃ©duses in Newfoundland), anthropology (the examination of Inuit culture), cartography and geography (tracing features described in the sagas to known geographic features of the Maritimes), engineering (the capability of the Vikings to navigate these waters ï¬Åve centuries before Columbus) and economics (the continuing trade that the GrÅ“nlendinga maintained with the Inuits).","ADVISOR: Kate Grandjean, History",History,History,2010,Jessica Allan,"First Contact, First Nations",2010
152,"In 1956 the ï¬Årst oil well was found in the Niger Delta region of Nigeria, igniting a cycle of environmental degradation, ï¬Ånancial wealth, and astronomical corruption that continues to aï¬€ect those living in the Niger Delta today. Halfway across the world, similar events unfolded in the region of Aceh, the heart of Indonesian crude oil production and yet one of the poorest districts in the nation. Today, after decades of violent warfare, the people of Aceh live in peace with growing economic opportunities while the Niger Delta peoples continue to suï¬€er. What can be learned from the Acehnese roadmap to peace, and how does it apply in the context of Nigeria? (Research supported by the Barnette Miller Fund.)","ADVISOR: Craig Murphy, Political Science",Political Science,Political Science,2010,Beverley Mbu,The Curse of Black Gold: Learning from Environmental  Conï¬‚ict in Indonesia and Nigeria,2010
153,"â€œWater warsâ€ù are much talked about, yet the fact that there has never been a â€œwater warâ€ù implies that the politics of international rivers is more complicated. The Jordan River is a highly contested international river, yet Israel has been able to dictate other ripariansâ€™ access to its water without using military intervention. I will explore this dynamic using the framework of â€œhydro-hegemony,â€ù showing that Israel has used ideational power to maintain its preferential access to this resource. I will contrast this case with the Nile River, where cooperation amongst riparians has dramatically increased, and the Columbia River, where the U.S. and Canada have long cooperated. I will show how diï¬€erences in a hydro-hegemonâ€™s relative power in a river basin aï¬€ect the fairness, and therefore sustainability, of cooperation, and how future â€œwater warsâ€ù can be prevented. (Research supported by the Political Science department and the Barnette Miller Fund.)","ADVISOR: Craig Murphy, Political Science",Political Science,International Relationsâ€“Political Science,2010,ra Stark,Water Wars?: Hegemony and International Rivers,2010
154,"British Prime Minister Lord Palmerstone once exclaimed that Britain has no permanent friends, only permanent interests. For centuries, analyses of statesâ€™ foreign policies as well as theories of international relations have relied on national interests as the guidelines for the creation of a long-term coherent foreign policy. Yet, what happens to the practice of international relations and its theories if we start questioning the role of national interests? Using declassiï¬Åed primary sources from The National Security Archive, this research uncovers U.S. foreign policies towards Afghanistan in 1973â€“2008 and shows that U.S. foreign policy in Afghanistan has not been guided by U.S. national interests. Rather, U.S. foreign policies have been merely reactive and the process of their implementation led to the formulation of U.S. national interest. Thereby, this presentation refutes the common perception of the United States as an active and purposeful player in international relations and oï¬€ers an alternative idea. (Research supported by the Barnette Miller Fund.)","ADVISOR: Stacie Goddard, Political Science",Political Science,International Relationsâ€“Political Science,2010,Maria Lisiakova,U.S. Foreign Policy towards Afghanistan: Thirty Years of (Dis) Engagement,2010
155,"It is common knowledge that the multiethnic nature of Chinaâ€™s frontier autonomous regionsâ€”particularly Xinjiang and Tibetâ€”makes Chinese sovereignty over these areas highly problematic. The well-publicized recent histories of unrest and protest in these areas make it clear that the Chinese Communist Party faces great diï¬ƒculties when formulating policies intended to achieve their goal of promoting national unity. At ï¬Årst glance, the CCP appears to voice a strong commitment to promoting equality and providing for a degree of regional political autonomy. A close examination, however, of the policies the CCP has used to manage Xinjiang, Tibet, and Inner Mongolia makes it clear that all is not as it seems when it comes to the Chinese stateâ€™s rhetoric and their actual policies towards these historically minority-dominated areas. (Research supported by the Barnette Miller Fund.)","ADVISOR: William A. Joseph, Political Science",Political Science,Political Science,2010,Cynthia Chen,Minzu Tuanjie: The Policies Governing  Chinaâ€™s Multiethnic Frontier,2010
156,"My thesis explores the following question: Has Europe conformed to United States demands in regards to the European Union Security and Defense Policy (ESDP)? In 1998, when the ESDP was formally announced, former Secretary of State Madeleine K. Albright asked that the EU not decouple itself from NATO, not duplicate its capabilities, and not discriminate against non-EU NATO members in its decision-making. I am using these so-called â€œthree Dsâ€ù to assess whether diï¬€erent international relations theories can explain European behavior. By doing so, I hope to gain insights into the direction of European-American eï¬€orts at security and defense cooperation as well as the future role and purpose of NATO.","ADVISOR: Robert Paarlberg, Political Science",Political Science,Political Science,2010,Nora Keller,Complement or Supplement? The Evolving Relationship between the EU and NATO,2010
157,"As intrastate conï¬‚icts developed throughout the 1990s the United Nations was increasingly called upon to intervene in order to alleviate human suï¬€ering. At the beginning of the decade the UN answered this call with increased zeal, eager to deï¬Åne its role in the new world order. Large-scale humanitarian crises had always existed, but with the end of the Cold War and the U.S.-Soviet deadlock in the Security Council, the UN saw its opportunity to ï¬Ånally play a more dominant role in the international arena. However, as the decade progressed the UN became less willing to intervene, leaving some crises unattended while acting to prevent others. Join me on a journey through the 1990s as I examine various experiments in intervention and the factors that inï¬‚uenced the UNâ€™s decisions to intervene in humanitarian crises throughout the decade. (Research supported by the Barnette Miller Fund.)Science and Technology","ADVISOR: Stacie Goddard, Political Science",Political Science,Political Science  and Spanish,2010,Danielle Brown,The Use of Force to Mitigate Human Suffering: The United Nations and Humanitarian Intervention throughout the 1990s,2010
158,"Humans observe faces and facial variation diï¬€erently. One challenge in understanding this observation is limitations imposed by the use of categorical assessments of human facial variation. Here we develop a morphometric protocol for assessing the morphological diï¬€erences between high-resolution 3-D scans of human faces. Rather than treating faces categorically, this approach considers human faces as complex geometric landscapesâ€”consisting of landmarks, pseudo-landmarks and semi-landmarks â€”that diï¬€er in size and shape. By quantifying the size and shape differences present between any two 3-D facial scans, it is possible to more systematically assess not just whether two faces are diï¬€erent but how diï¬€erent they are and in what ways they are diï¬€erent. This in turn allows for greater interrogation of what kinds of diï¬€erences subjects observe when they examine the human face.","ADVISOR: Adam Van Arsdale, Anthropology",Anthropology,"Biological Sciences and Anthropology, Anthropology, Unspecified","2011, 2012, 2012","Calais Weber, Julie Bass, Kirstie Moreno",Use of 3-D Landmark Data in Analysis of Human Facial Variation,2010
159,"The development of readily available laser scanning technology has allowed for increased utility of 3-D data in a variety of disciplines and applications. Here we develop and assess the accuracy of a protocol for acquiring rapid, high-resolution 3-D facial data from human subjects using a NextEngine scanning platform. Our goal was to develop a protocol that was minimally invasive but also highly accurate. Subjects were scanned from three anglesâ€”front, right, and left obliqueâ€”at a moderate resolution level relative to the capabilities of the scanning platform. The three-fold scan minimized the presence of â€œholesâ€ù in the data associated facial topography. The moderate resolution level (220 points/in.2) allows for a rapid scan time (<40 seconds) appropriate for living subjects. To establish accuracy, intra-observer (the person processing the scan) and inter-observer error was assessed both within and between subjects (the person being scanned).","ADVISOR: Adam Van Arsdale, Anthropology",Anthropology,"Unspecified, Psychology, Unspecified","2012, 2012, 2013","Feride Aydinoglu, Kyla Brown, Priscilla Gutierrez",Assessing Accuracy in High-resolution 3-D Facial Scans,2010
160,"Japanese society is built around a strict adherence to the ideal of normality: school, work, marriage and family. Lesbianism is considered a lifestyle choice that is deviant from the norm and thus is rendered invisible by a widespread social silencing. The ï¬Årst woman to publicly come out, Hiroko Kakefuda, challenged the community to â€œreclaim the word â€˜lesbianâ€™â€ù and assert their space in society. In response to her challenge, lesbian activists within the last decade have taken an education-focused approach in their pursuit of social acceptance. They are amending the standard for what is normal to be inclusive of lesbian individuals through redeï¬Åning of terminology, creating new images of the lesbian experience, and drawing on reestablished institutions to promote an â€˜ideal Japan.â€™  By adopting the rhetoric of â€˜normalityâ€™ to legitimize the lesbian experience, lesbian activists are changing the notion of sexuality in Japan. (Research supported by the East Asian Studies department.)","ADVISOR: Ellen Widmer, East Asian Languages and Literatures",East Asian Languages and Literatures,East Asian Studies,2010,Xiao Tian,Lesbian is Normal: (Re)Educational Activism in Japan,2010
161,"Suppose a police oï¬ƒcer pulls over a driver and asks, â€œCan I look inside your trunk?â€ù Although the oï¬ƒcerâ€™s question is a request that can be refused, I argue that there are compelling reasons to believe that drivers often interpret such questions as orders that must be obeyed. Moreover, I argue that when drivers take such an utterance to be an order, the driverâ€™s aï¬ƒrmative response does not constitute consent, and thus the subsequent search by the police oï¬ƒcer is unconstitutional. I also explore the possibility that there are racial and socioeconomic injustices involved and I critically evaluate several potential solutions to this problem.","ADVISOR: Mary Kate McGowan, Philosophy",Philosophy,Philosophy  and Architecture,2010,Shan Shan Tam,Are Consensual Searches Really Consensual?,2010
162,"How important are signiï¬Åcant others to our goals? Relationships with romantic others and close friends have been shown to impact how an individual views themselves, others, and the environment. Close others have also been shown to impact goal pursuits positively and negatively. This presentation will discuss my study on the relationships among goals, close relationships, and relational identity orientation. For this study, college undergraduates and faculty completed ï¬Åve questionnaires that measured how much romantic others and close friends helped or inï¬‚uenced goals, the importance of achievement goals, relationship closeness, and the subjective importance of social relationships. Understanding the importance of close friends and romantic partners in our lives can help us gain a fuller picture of how this aspect of the self is impacted by interpersonal relations. This presentation will further discuss the constructs mentioned above and the results of the study.","ADVISOR: Julie Norem, Psychology",Psychology,Psychology,2011,Krista Olson,"Goals, Close Relationships, and the Self",2010
163,"Research on body image of women around the world has focused on eating disorders thus obscuring other possible cultural diï¬€erences in body esteem. In particular, the adoption of Western cultural standards may result in disturbance of body image among Asian women because of physical disparities between them and their white counterparts. We investigated diï¬€erences in satisfaction with ethnically salient body features among Euro, Chinese, and Korean American college women. In addition to investigating ethnic variability in body image, we ascertained whether these diï¬€erences were related to the use of plastic surgery, ethnic identiï¬Åcation, individualism/collectivism, and social class. (Research supported by the Oï¬ƒce of the Dean of the College and the Department  of Psychology.)","ADVISOR: Paul Wink, Psychology",Psychology,Psychology,2010,Rachel So,Ethnic Differences in Body Evaluation and Preference for Plastic Surgery,2010
164,"Beginning on the First Sunday in Advent in 1964, the Catholic Mass underwent a  transformation from the traditional, sacred Latin to what some would call the â€œheavenly  hootenanny.â€ù In addition to the most obvious changes in the Mass, Vatican II brought about many other changes in the Catholic Church. Lay people were expected to take an active role in the Church rather than being passive recipients of the sacraments; sacramentals, religious devotions, and even some saints were no longer considered as integral. These changes greatly impacted Catholics and their beliefs. I will discuss what I learned through my independent study in the  religion department about these changes,  as set out by Vatican II and as interpreted by various segments of the Church, and  consider their impact on Catholics and the Catholic Church.","ADVISOR: Sharon Elkins, Religion",Religion,American Studies and Peace and Justice Studies,2010,Abigail Friedman,The Heavenly Hootenanny and Other Changes to the Catholic Church from Vatican II,2010
165,"During the twentieth century, in tandem with an overall trend toward secularization in American society, religion lost its place in the public school curriculum. Today, in the face of signiï¬Åcant conï¬‚icts around the world based on clashes between religious ideologies, American high schools no longer teach basic facts about the worldâ€™s religions. State curriculum standards typically do not address religion and pressure often falls on individual teachers to determine how to incorporate religion into their lessons. In the absence of oï¬ƒcial curriculum standards, when such instruction takes place, it is ad hoc and often dependent on teachersâ€™ informal knowledge of religious pluralism. Surveying both public and private high school teachers, I will explore how teachers are prepared to teach religion and how they actually present it in the classroom. Understanding the condition of instruction about religion in the secondary school classroom is the ï¬Årst step towards imagining a more balanced curriculum.","ADVISOR: Ed Silver, Religion",Religion,Sociology,2010,Kate Soules,The Elusive Fourth R:  Religion in the Secondary School Social Studies Curriculum,2010
